@.01link.net 2404:fc00:1006:110::1
0x20.demo.iminds.be 2001:6a8:1d80:22::107
103read.ncl.edu.tw 2001:288:105:1::186:120
10lat.wikipedia.pl 2001:41d0:2:7530::1011
12adapt.hlc.edu.tw 2001:288:b200:1::200
1337.micro.emediate.se 2a00:d90:11f:2::1337
1872.arte.gov.tw 2001:288:109:2:203:71:7:109
1B01-3750.svcc.edu 2620:103:4000:c::11
1B03-UPS.svcc.edu 2620:103:4000:a:2c0:b7ff:fe8d:ba19
1C01-3750.svcc.edu 2620:103:4000:c::12
1C04P1.svcc.edu 2620:103:4000:b:6ec2:17ff:fe10:b320
1C05P1.svcc.edu 2620:103:4000:a:2e59:e5ff:fed3:f0db
1C05-UPS.svcc.edu 2620:103:4000:a:2c0:b7ff:fe5c:f2a3
1C11P1.svcc.edu 2620:103:4000:b:200:aaff:fe6e:4ea3
1C12P1.svcc.edu 2620:103:4000:b:1ec1:deff:fe82:af2f
1C12P4.svcc.edu 2620:103:4000:b:9e93:4eff:fe16:c385
1D05P1.svcc.edu 2620:103:4000:b:2e27:d7ff:fe10:e970
1D05P2.svcc.edu 2620:103:4000:b:221:5aff:fe91:d2e6
1D07P1.svcc.edu 2620:103:4000:b:328d:99ff:fea9:1c7f
1D09P1.svcc.edu 2620:103:4000:b:328d:99ff:fea9:2c1b
1D11P1.svcc.edu 2620:103:4000:b:328d:99ff:fea9:9a7f
1D13P1.svcc.edu 2620:103:4000:b:328d:99ff:fead:ade5
1D15P1.svcc.edu 2620:103:4000:b:200:aaff:fe7b:2747
1E01P1.svcc.edu 2620:103:4000:b:200:aaff:fe6f:589f
1E03P1.svcc.edu 2620:103:4000:b:328d:99ff:fead:9d4d
1E04P1.svcc.edu 2620:103:4000:a:f292:1cff:fe62:60b6
1E05P1.svcc.edu 2620:103:4000:b:82c1:6eff:fe94:3c64
1E07P1.svcc.edu 2620:103:4000:b:328d:99ff:fead:4dd8
1E09P1.svcc.edu 2620:103:4000:b:328d:99ff:fead:bd11
1E11P1.svcc.edu 2620:103:4000:b:328d:99ff:fead:3d19
1E13P1.svcc.edu 2620:103:4000:b:328d:99ff:fead:3d18
1E15P1.svcc.edu 2620:103:4000:b:328d:99ff:fead:2df5
1E17P1.svcc.edu 2620:103:4000:b:9eb6:54ff:fe19:a2c
1E19P1.svcc.edu 2620:103:4000:b:328d:99ff:fead:3dc7
1E19P2.svcc.edu 2620:103:4000:b:c634:6bff:fe14:3107
1E21P1.svcc.edu 2620:103:4000:b:82c1:6eff:fe97:fa49
1E23P1.svcc.edu 2620:103:4000:b:5265:f3ff:fe57:df94
1E23P2.svcc.edu 2620:103:4000:b:d2bf:9cff:feb9:f79c
1E23P3.svcc.edu 2620:103:4000:b:d2bf:9cff:feb9:b7d0
1E25P1.svcc.edu 2620:103:4000:b:d2bf:9cff:feb9:c770
1E27P1.svcc.edu 2620:103:4000:b:328d:99ff:fead:add2
1E29P1.svcc.edu 2620:103:4000:b:cacb:b8ff:fe5c:6136
1E31P1.svcc.edu 2620:103:4000:b:6651:6ff:fe21:d426
1E33P1.svcc.edu 2620:103:4000:b:82c1:6eff:fe97:3961
1E35P1.svcc.edu 2620:103:4000:b:82c1:6eff:fe97:3973
1E37P1.svcc.edu 2620:103:4000:b:3e4a:92ff:fe40:1ad1
1F05P1.svcc.edu 2620:103:4000:b:5a20:b1ff:fe4c:17ed
1F05P2.svcc.edu 2620:103:4000:b:200:aaff:fe7d:c4ad
1F06P1.svcc.edu 2620:103:4000:a:d2bf:9cff:feb8:a7c8
1F11P1.svcc.edu 2620:103:4000:b:f6ce:46ff:fe3c:3006
1F25P1.svcc.edu 2620:103:4000:b:d2bf:9cff:feb9:66db
1G06-3750.svcc.edu 2620:103:4000:c::13
1G12P1.svcc.edu 2620:103:4000:b:9eb6:54ff:fe19:a2c
1G14P1.svcc.edu 2620:103:4000:b:82c1:6eff:fe97:3961
1G14P2.svcc.edu 2620:103:4000:b:82c1:6eff:fe97:3973
1G14P4.svcc.edu 2620:103:4000:b:3e4a:92ff:fe40:1ad1
1G14P5.svcc.edu 2620:103:4000:b:6651:6ff:fe21:d426
1G14P7.svcc.edu 2620:103:4000:b:3ed9:2bff:fe0e:a8c0
1G14P8.svcc.edu 2620:103:4000:b:9eb6:54ff:fe19:a2c
1G14P9.svcc.edu 2620:103:4000:b:200:aaff:fe6f:589f
1G19-3750.svcc.edu 2620:103:4000:c::14
1G20P1.svcc.edu 2620:103:4000:b:200:aaff:fe6f:589f
1H01P1.svcc.edu 2620:103:4000:b:fe15:b4ff:fea0:1a3d
1H02P2.svcc.edu 2620:103:4000:b:6e3b:e5ff:fe09:cc31
1H02P3.svcc.edu 2620:103:4000:b:2e27:d7ff:fe10:e970
1H02P4.svcc.edu 2620:103:4000:b:82c1:6eff:fe94:3c64
1H02P5.svcc.edu 2620:103:4000:b:221:5aff:fe91:d2e6
1H02P6.svcc.edu 2620:103:4000:b:200:aaff:fe7d:c4ad
1J01P1.svcc.edu 2620:103:4000:b:c634:6bff:fe14:3107
1J01P2.svcc.edu 2620:103:4000:b:82c1:6eff:fe94:3c64
1J01P3.svcc.edu 2620:103:4000:b:82c1:6eff:fe94:3c64
1J01P4.svcc.edu 2620:103:4000:b:82c1:6eff:fe94:3c64
1J01P5.svcc.edu 2620:103:4000:b:200:aaff:fe7d:c4ad
1J01P6.svcc.edu 2620:103:4000:b:82c1:6eff:fe97:fa49
1J01P8.svcc.edu 2620:103:4000:b:5265:f3ff:fe57:df94
1J01P9.svcc.edu 2620:103:4000:b:5265:f3ff:fe57:df94
1J09-3750.svcc.edu 2620:103:4000:c::15
@.1jour1vin.com 2a03:b700:148:2::2
1K06-3750.svcc.edu 2620:103:4000:c::16
1K11P1.svcc.edu 2620:103:4000:b:221:b7ff:fe14:e9a2
1M04-3750.svcc.edu 2620:103:4000:c::17
1.skinov.ru 2a05:1700:0:18::2
1.v6.yahtzee.toybox.ca 2a03:b200:9::4cf7:9e79
2009.jxcg.ynu.edu.cn 2001:250:2800:2::28
2011.spacechina.com 240c:f:0:ffe3::7
2012.spacechina.com 240c:f:0:ffe3::7
20130708-www.fsf.org 2001:4830:134:4::11
2013ecofilm.forest.gov.tw 2001:4420:602c:13::182
@.24shells.net 2607:4f00:0:108::3
2A01P1.svcc.edu 2620:103:4000:a:a2d3:c1ff:feeb:311c
2C01P1.svcc.edu 2620:103:4000:a:21b:78ff:feef:d709
2C07-3850.svcc.edu 2620:103:4000:c::21
2C07-UPS.svcc.edu 2620:103:4000:a:2c0:b7ff:fe84:4694
2C3AP1.svcc.edu 2620:103:4000:a:7ae7:d1ff:feab:52e2
2C3BP1.svcc.edu 2620:103:4000:a:7ae7:d1ff:fea9:4be8
2D01P1.svcc.edu 2620:103:4000:a:461e:a1ff:fe34:8b97
2E01P1.svcc.edu 2620:103:4000:b:2e41:38ff:fe82:5c9a
2E01P3.svcc.edu 2620:103:4000:b:200:aaff:fe6f:8bbd
2E01P4.svcc.edu 2620:103:4000:a:b6b5:2fff:fef2:8725
2E04P1.svcc.edu 2620:103:4000:a:6e3b:e5ff:fe06:93a2
2E12P1.svcc.edu 2620:103:4000:a:d2bf:9cff:febb:ef29
2E21-3750-Core.svcc.edu 2620:103:4000:c::f
2E21-3850.svcc.edu 2620:103:4000:c::22
2E21-Symmetra.svcc.edu 2620:103:4000:b:2c0:b7ff:fe96:6abd
2E21-UPS1.svcc.edu 2620:103:4000:0:2c0:b7ff:fea1:15af
2E21-UPS2.svcc.edu 2620:103:4000:0:2c0:b7ff:fea1:4c0c
2E21-UPS3.svcc.edu 2620:103:4000:0:2c0:b7ff:fea1:20b2
2E21-UPS4.svcc.edu 2620:103:4000:0:2c0:b7ff:fe84:7911
2E21-UPS5.svcc.edu 2620:103:4000:0:2c0:b7ff:fe8d:bec7
2E21-UPS6.svcc.edu 2620:103:4000:0:2c0:b7ff:fe90:15b8
2F01P1.svcc.edu 2620:103:4000:a:2e44:fdff:fe06:b5c4
2F04P1.svcc.edu 2620:103:4000:a:f292:1cff:fe61:78ad
2F05P1.svcc.edu 2620:103:4000:a:1ec1:deff:fe83:2611
2F16-3750.svcc.edu 2620:103:4000:c::23
2G06-UPS.svcc.edu 2620:103:4000:b:2c0:b7ff:fe84:46c4
2G08P1.svcc.edu 2620:103:4000:a:a65d:36ff:fe5d:6b68
2gigmobile.oau.oakwood.edu 2601:7c0:c200:7050:15fd:bc3e:c104:d5c6
2gigmobile.oau.oakwood.edu 2601:7c0:c200:7050:4e34:88ff:fe07:ef22
2H12P1.svcc.edu 2620:103:4000:a:b6b5:2fff:fef2:8725
2K9B-3750.svcc.edu 2620:103:4000:c::24
2K9BP2.svcc.edu 2620:103:4000:a:240:caff:fe98:4828
2M03P1.svcc.edu 2620:103:4000:a:21e:bff:fe0f:3a6a
2M11-3750.svcc.edu 2620:103:4000:c::25
2.pt.ynu.edu.cn 2001:250:2800:2::103
