0038.co.jp.axfr:@ "v=spf1 include:spf.mail-cp.com ~all"
0042.ru.axfr:@ "v=spf1 ip4:37.143.10.55 a mx ~all"
007go.com.axfr:@ "v=spf1 ip4:70.42.254.0/24 ip4:64.74.172.0/24 ~all"
007stockchat.com.axfr:007stockchat.com "v=spf1 a ~all"
007stockchat.com.axfr:@ "v=spf1 +a +mx +ip4:69.16.238.232 +a:icpbounce.com +mx:icpbounce.com +include:icpbounce.com ~all"
009821.ir.axfr:@ "v=spf1 a mx ip4:185.94.97.2 ~all"
015.by.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
01link.net.axfr:@ "v=spf1 a mx ip4:103.11.229.110 ip4:182.173.76.80 ip4:182.173.76.90 ip4:182.173.76.100 ?all"
022.co.il.axfr:@ "v=spf1 a mx ip4:212.179.114.226 ip4:212.179.114.232 ip4:212.179.115.64 ~all"
025810.com.axfr:@ "v=spf1 +ip4:124.241.196.77 +ip4:203.211.246.96/27 +ip4:210.172.53.232/29 ~all"
02dual.com.axfr:@ "v=spf1 a mx ip4:27.254.99.51 ~all"
032.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
0342.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
0352.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
0362.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
0382.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
03auto.biz.axfr:@ "v=spf1 ip4:203.183.142.131/32 ip4:203.183.142.135/32 ip4:203.183.142.136/32 ip4:203.183.142.140/30 ip4:203.183.142.144/28 ip4:203.183.142.160/28 ip4:203.183.142.176/30 ~all"
0412.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
0432.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
0462.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
0472.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
048.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
